date,period_end,eps,estimated_eps,surprise,surprise_pct,report_time,eps_ms
1996-04-15,1996-03-31,0.36,0.36,0,0,pre-market,
1996-07-16,1996-06-30,0.32,0.32,0,0,pre-market,
1996-10-22,1996-09-30,0.38,0.32,0.06,18.75,pre-market,
1997-01-27,1996-12-31,0.34,0.34,0,0,pre-market,1.4
1997-04-21,1997-03-31,0.41,0.4,0.01,2.5,pre-market,1.4500000000000002
1997-07-23,1997-06-30,0.38,0.38,0,0,pre-market,1.51
1997-10-20,1997-09-30,0.41,0.4,0.01,2.5,pre-market,1.54
1998-01-29,1997-12-31,0.41,0.42,-0.01,-2.381,pre-market,1.61
1998-04-20,1998-03-31,0.47,0.46,0.01,2.1739,pre-market,1.67
1998-07-22,1998-06-30,0.45,0.43,0.02,4.6512,pre-market,1.74
1998-10-21,1998-09-30,0.53,0.51,0.02,3.9216,pre-market,1.86
1999-01-28,1998-12-31,0.5,0.51,-0.01,-1.9608,pre-market,1.95
1999-04-19,1999-03-31,0.53,0.53,0,0,pre-market,2.01
1999-07-21,1999-06-30,0.52,0.51,0.01,1.9608,pre-market,2.08
1999-10-20,1999-09-30,0.62,0.62,0,0,pre-market,2.17
2000-01-27,1999-12-31,0.61,0.61,0,0,pre-market,2.2800000000000002
2000-04-17,2000-03-31,0.63,0.61,0.02,3.2787,pre-market,2.38
2000-07-20,2000-06-30,0.61,0.6,0.01,1.6667,pre-market,2.4699999999999998
2000-10-19,2000-09-30,0.71,0.71,0,0,pre-market,2.5599999999999996
2001-01-25,2000-12-31,0.7,0.7,0,0,pre-market,2.65
2001-04-16,2001-03-31,0.74,0.73,0.01,1.3699,pre-market,2.76
2001-07-19,2001-06-30,0.76,0.74,0.02,2.7027,pre-market,2.9099999999999997
2001-10-18,2001-09-30,0.66,0.66,0,0,pre-market,2.8600000000000003
2002-01-24,2001-12-31,0.6,0.6,0,0,pre-market,2.76
2002-04-15,2002-03-31,0.58,0.58,0,0,pre-market,2.5999999999999996
2002-07-18,2002-06-30,0.61,0.61,0,0,pre-market,2.45
2002-10-23,2002-09-30,0.68,0.68,0,0,pre-market,2.4699999999999998
2003-01-23,2002-12-31,0.68,0.68,0,0,pre-market,2.55
2003-04-22,2003-03-31,0.61,0.58,0.03,5.1724,pre-market,2.58
2003-07-24,2003-06-30,0.64,0.6,0.04,6.6667,pre-market,2.6100000000000003
2003-10-22,2003-09-30,0.66,0.66,0,0,pre-market,2.59
2004-01-29,2003-12-31,0.67,0.67,0,0,pre-market,2.58
2004-04-19,2004-03-31,0.7,0.66,0.04,6.0606,pre-market,2.67
2004-07-22,2004-06-30,0.68,0.68,0,0,pre-market,2.71
2004-10-21,2004-09-30,0.69,0.68,0.01,1.4706,pre-market,2.7399999999999998
2005-01-26,2004-12-31,0.75,0.74,0.01,1.3514,pre-market,2.82
2005-04-18,2005-03-31,0.68,0.66,0.02,3.0303,pre-market,2.8000000000000003
2005-07-21,2005-06-30,0.67,0.67,0,0,pre-market,2.79
2005-10-20,2005-09-30,0.73,0.71,0.02,2.8169,pre-market,2.83
2006-01-26,2005-12-31,0.8,0.78,0.02,2.5641,pre-market,2.8800000000000003
2006-04-20,2006-03-31,0.77,0.75,0.02,2.6667,pre-market,2.97
2006-07-21,2006-06-30,0.76,0.75,0.01,1.3333,pre-market,3.06
2006-10-19,2006-09-30,0.8,0.79,0.01,1.2658,pre-market,3.1300000000000003
2007-01-31,2006-12-31,0.85,0.82,0.03,3.6585,pre-market,3.1799999999999997
2007-04-16,2007-03-31,0.84,0.79,0.05,6.3291,pre-market,3.25
2007-07-24,2007-06-30,0.9,0.82,0.08,9.7561,pre-market,3.39
2007-10-18,2007-09-30,0.91,0.87,0.04,4.5977,pre-market,3.5
2008-01-29,2007-12-31,0.9,0.89,0.01,1.1236,pre-market,3.5500000000000003
2008-04-21,2008-03-31,0.92,0.96,-0.04,-4.1667,pre-market,3.63
2008-07-24,2008-06-30,0.99,1,-0.01,-1,pre-market,3.72
2008-10-23,2008-09-30,1.04,1.02,0.02,1.9608,pre-market,3.85
2009-01-29,2008-12-31,1.07,1.05,0.02,1.9048,pre-market,4.0200000000000005
2009-04-20,2009-03-31,1.2,0.99,0.21,21.2121,pre-market,4.300000000000001
2009-07-22,2009-06-30,1.12,1.02,0.1,9.8039,pre-market,4.43
2009-10-21,2009-09-30,1.2,1.02,0.18,17.6471,pre-market,4.59
2010-01-28,2009-12-31,0.91,0.92,-0.01,-1.087,pre-market,4.43
2010-04-19,2010-03-31,1.18,1.1,0.08,7.2727,pre-market,4.41
2010-07-22,2010-06-30,1.24,1.1,0.14,12.7273,pre-market,4.53
2010-10-21,2010-09-30,1.21,1.15,0.06,5.2174,pre-market,4.54
2011-01-27,2010-12-31,1.11,1.1,0.01,0.9091,pre-market,4.74
2011-04-18,2011-03-31,1.24,1.17,0.07,5.9829,pre-market,4.8
2011-07-21,2011-06-30,1.18,1.18,0,0,pre-market,4.74
2011-10-20,2011-09-30,1.13,1.13,0,0,pre-market,4.66
2012-01-31,2011-12-31,0.87,0.81,0.06,7.4074,pre-market,4.42
2012-04-25,2012-03-31,0.92,0.78,0.14,17.9487,pre-market,4.1
2012-07-25,2012-06-30,0.83,0.77,0.06,7.7922,pre-market,3.75
2012-10-24,2012-09-30,0.79,0.83,-0.04,-4.8193,pre-market,3.41
2013-01-29,2012-12-31,0.85,0.78,0.07,8.9744,pre-market,3.3899999999999997
2013-04-24,2013-03-31,1.14,1.05,0.09,8.5714,pre-market,3.61
2013-07-24,2013-06-30,1.16,1,0.16,16,pre-market,3.9399999999999995
2013-10-23,2013-09-30,1.11,1.04,0.07,6.7308,pre-market,4.26
2014-01-30,2013-12-31,0.74,0.74,0,0,pre-market,4.15
2014-04-24,2014-03-31,0.7,0.7,0,0,pre-market,3.71
2014-07-24,2014-06-30,0.68,0.65,0.03,4.6154,pre-market,3.23
2014-10-23,2014-09-30,0.66,0.67,-0.01,-1.4925,pre-market,2.7800000000000002
2015-01-30,2014-12-31,0.75,0.73,0.02,2.7397,pre-market,2.79
2015-04-23,2015-03-31,0.87,0.77,0.1,12.987,pre-market,2.96
2015-07-23,2015-06-30,0.9,0.74,0.16,21.6216,pre-market,3.1799999999999997
2015-10-22,2015-09-30,0.89,0.76,0.13,17.1053,pre-market,3.4099999999999997
2016-01-28,2015-12-31,0.78,0.78,0,0,pre-market,3.4400000000000004
2016-04-26,2016-03-31,0.83,0.85,-0.02,-2.3529,pre-market,3.4000000000000004
2016-07-26,2016-06-30,0.86,0.86,0,0,pre-market,3.36
