,<TICKER>,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<RETURN>,<LOG_CLOSE>,<LOG_RETURN>
5731120,LLY.US,1982-01-04,2.44706,2.4542,2.42597,2.454465103809368,1285734.7375168,,0.8979088571850686,
5731121,LLY.US,1982-01-05,2.39733,2.4327,2.3479,2.3781247212419308,733099.37972995,0.9688973444971958,0.8663122448503218,-0.03159661233474683
5731122,LLY.US,1982-01-06,2.3479,2.3904,2.29818,2.330789279276257,1847401.6748639,0.9800954754210899,0.8462069566864738,-0.02010528816384799
5731123,LLY.US,1982-01-07,2.31938,2.33364,2.29818,2.335467454525507,793996.67492813,1.0020071206311292,0.8482120657421889,0.002005109055715178
5731124,LLY.US,1982-01-08,2.3479,2.35504,2.3266,2.3491864455620552,845881.57018055,1.0058741949111578,0.8540690748394574,0.005857009097268468
5731125,LLY.US,1982-01-11,2.3694,2.38357,2.3479,2.3678034551119804,1998532.9999405,1.0079248752627086,0.8619627132020292,0.007893638362571849
5731126,LLY.US,1982-01-12,2.3479,2.35504,2.34048,2.362740605092143,613545.7758792,0.997861794648155,0.8598222186253169,-0.0021404945767123013
5731127,LLY.US,1982-01-13,2.3479,2.36177,2.3266,2.334998561477376,383465.10047111,0.9882585318274134,0.8480112750510246,-0.01181094357429248
5731128,LLY.US,1982-01-14,2.31264,2.3266,2.29818,2.3144831266690433,1416568.9831007,0.9912139411360699,0.839186391192164,-0.008824883858860544
5731129,LLY.US,1982-01-15,2.3266,2.3479,2.31264,2.3217727102303147,2048157.7290327,1.0031495513954178,0.8423309931402218,0.0031446019480578413
5731130,LLY.US,1982-01-18,2.31938,2.3479,2.29134,2.349387424399467,2054925.1046192,1.0118938059903428,0.8541546237073038,0.011823630567081972
5731131,LLY.US,1982-01-19,2.3266,2.3479,2.29134,2.3033984753512216,1202280.1966657,0.9804251318575093,0.8343856303401567,-0.019768993367147113
5731132,LLY.US,1982-01-20,2.29818,2.31264,2.27668,2.283107515118682,1157165.7053601,0.9911908597449924,0.8255374602270779,-0.008848170113078868
5731133,LLY.US,1982-01-21,2.3052,2.3479,2.26984,2.3520649409675505,6015904.1549413,1.0302033195511968,0.8552936406107963,0.029756180383718436
5731134,LLY.US,1982-01-22,2.37584,2.3904,2.35504,2.3611213135701594,2354930.6169722,1.0038503922425217,0.8591366390663501,0.003842998455553715
5731135,LLY.US,1982-01-25,2.3479,2.3694,2.3266,2.358784934619419,1477472.3350194,0.9990104790730945,0.8581466282404087,-0.0009900108259414723
5731136,LLY.US,1982-01-26,2.3904,2.40497,2.3694,2.3774866555435543,2348163.2413857,1.007928540092678,0.8660439026113743,0.007897274370965698
5731137,LLY.US,1982-01-27,2.37584,2.37584,2.36177,2.369428189856349,1646644.6112419,0.9966105106548483,0.8626486559339198,-0.0033952466774544734
5731138,LLY.US,1982-01-28,2.42597,2.46846,2.37584,2.471765045296014,3018100.1124903,1.043190528363668,0.9049324886769601,0.04228383274304029
5731139,LLY.US,1982-01-29,2.49661,2.51097,2.48957,2.505372557332325,1854172.0788107,1.0135965641638427,0.9184374489602561,0.013504960283295987
5731140,LLY.US,1982-02-01,2.51097,2.52503,2.49661,2.500038021732161,1039871.2582161,0.9978707615422098,0.9163059404513685,-0.0021315085088877673
5731141,LLY.US,1982-02-02,2.5183,2.5395,2.49661,2.542928794448512,1655671.1435352,1.0171560481654731,0.9333164854378568,0.01701054498648829
5731142,LLY.US,1982-02-03,2.53246,2.5395,2.5183,2.5260926854018844,1026334.4881363,0.9933792447970298,0.9266737158132929,-0.006642769624563876
5731143,LLY.US,1982-02-04,2.48957,2.5183,2.4542,2.475780291389668,1811311.6969448,0.9800829184522926,0.9065556155820976,-0.020118100231195264
5731144,LLY.US,1982-02-05,2.51097,2.53246,2.48253,2.5405696115828733,1946653.1519551,1.0261692527477222,0.932388312417399,0.02583269683530123
5731145,LLY.US,1982-02-08,2.49661,2.51097,2.4754,2.4966140863204953,1885750.80949,0.9826985550555365,0.9149354484204887,-0.017452863996910265
5731146,LLY.US,1982-02-09,2.4754,2.49661,2.4542,2.4739733262040393,1784243.2040522,0.9909314137733541,0.9058254922646554,-0.009109956155833397
5731147,LLY.US,1982-02-10,2.49661,2.52503,2.46846,2.5123450333706154,4112106.3375852,1.0155101539536209,0.9212165932225604,0.015391100957905156
5731148,LLY.US,1982-02-11,2.54633,2.56763,2.52503,2.5386316946079095,4134662.5737845,1.0104629980707813,0.9316252329676289,0.010408639745068303
5731149,LLY.US,1982-02-12,2.5607,2.5819,2.53246,2.5776103388760405,1403036.2508345,1.0153541942893576,0.9468627444800304,0.01523751151240151
5731150,LLY.US,1982-02-16,2.56763,2.5819,2.55386,2.5851549879832874,1398523.9941411,1.0029269936551142,0.9497854628297122,0.002922718349681844
5731151,LLY.US,1982-02-17,2.58892,2.59626,2.56763,2.5845911133767334,1635372.0451358,0.9997818797676832,0.9495673188057179,-0.00021814402399438745
5731152,LLY.US,1982-02-18,2.5819,2.59626,2.56763,2.5977975741731143,2936896.6527188,1.0051096905533838,0.954663999190131,0.005096680384413213
5731153,LLY.US,1982-02-19,2.5819,2.59626,2.56763,2.5928821660244483,2537641.6821814,0.9981078555937021,0.9527700624173049,-0.0018939367728261296
5731154,LLY.US,1982-02-22,2.56763,2.61726,2.5183,2.5251322901504563,3090282.0872352,0.9738708234559421,0.9262934534936975,-0.026476608923607352
5731155,LLY.US,1982-02-23,2.5395,2.5607,2.5183,2.5565771436224423,7030960.0202511,1.0124527548891755,0.9386693105657059,0.012375857072008393
5731156,LLY.US,1982-02-24,2.52503,2.56763,2.48957,2.5415262749485286,4168498.4422637,0.9941128830352493,0.932764796213972,-0.005904514351733866
5731157,LLY.US,1982-02-25,2.53246,2.55386,2.51097,2.5280045030911555,814299.81114114,0.9946796647389975,0.9274302575690828,-0.005334538644889166
5731158,LLY.US,1982-02-26,2.51097,2.5183,2.49661,2.5263246903619403,1824846.4481179,0.9993355183002399,0.9267655550035118,-0.0006647025655710151
5731159,LLY.US,1982-03-01,2.51097,2.5183,2.49661,2.520134400351509,945132.03781829,0.9975496855039863,0.9243122335739739,-0.0024533214295379274
5731160,LLY.US,1982-03-02,2.48253,2.51097,2.44706,2.4564491330077174,972200.53071102,0.9747294162823583,0.8987168653117098,-0.025595368262263992
5731161,LLY.US,1982-03-03,2.41893,2.4542,2.3904,2.416430118603928,3383520.2240019,0.9837085922659472,0.8822912934507271,-0.016425571860982743
5731162,LLY.US,1982-03-04,2.38357,2.40497,2.35504,2.394640556361741,2244402.5359616,0.9909827467906351,0.8732331387485731,-0.009058154702154023
5731163,LLY.US,1982-03-05,2.3694,2.39733,2.3266,2.3474954995976414,1906050.9173427,0.980312261629892,0.8533490149941372,-0.019884123754435972
5731164,LLY.US,1982-03-08,2.33364,2.36177,2.29818,2.313622993533108,2041393.3818063,0.9855707897755973,0.8388146913549092,-0.014534323639228018
5731165,LLY.US,1982-03-09,2.29818,2.31938,2.27668,2.300356365318802,3947444.299149,0.994265864295355,0.8330640523758759,-0.0057506389790333715
5731166,LLY.US,1982-03-10,2.31938,2.3266,2.29818,2.32960600344816,2839901.3039744,1.012715263847958,0.8456991560465109,0.012635103670635184
5731167,LLY.US,1982-03-11,2.34048,2.3479,2.3266,2.3496242382881376,2043647.4912461,1.008592970146174,0.854255416770131,0.008556260723620084
5731168,LLY.US,1982-03-12,2.35504,2.3694,2.3479,2.371756533087145,1172956.5848797,1.0094195039523137,0.8636308338299646,0.009375417059833675
5731169,LLY.US,1982-03-15,2.37584,2.3904,2.3479,2.399738337736736,954151.50393787,1.0117979245589634,0.8753597054671132,0.011728871637148393
5731170,LLY.US,1982-03-16,2.37584,2.39733,2.36177,2.36201883539988,2548921.3144613,0.9842818270043431,0.8595166920871012,-0.015843013380011893
5731171,LLY.US,1982-03-17,2.33364,2.36177,2.3052,2.34878597363746,4161731.0666773,0.9943976476545837,0.853898587705932,-0.005618104381169317
5731172,LLY.US,1982-03-18,2.3479,2.36177,2.33364,2.3648857864177892,658659.25773148,1.0068545252573167,0.8607297275083051,0.006831139802373047
5731173,LLY.US,1982-03-19,2.37584,2.38357,2.35504,2.3887169438208575,3669996.0324488,1.0100770859801929,0.8707563782017064,0.01002665069340118
5731174,LLY.US,1982-03-22,2.42597,2.4542,2.39733,2.460424265555604,2072968.0746719,1.0300191790912017,0.9003338007467867,0.029577422545080296
5731175,LLY.US,1982-03-23,2.49661,2.51097,2.4754,2.479098676074299,2537641.6821814,1.0075899147883254,0.907895057050819,0.007561256304032332
5731176,LLY.US,1982-03-24,2.48957,2.51097,2.46846,2.497406806269115,1921837.7590489,1.007384994543181,0.9152529160371956,0.007357858986376542
5731177,LLY.US,1982-03-25,2.49661,2.5183,2.4754,2.5234023593879553,1646644.6112419,1.0104090182879237,0.9256081335146156,0.010355217477420008
5731178,LLY.US,1982-03-26,2.51097,2.53246,2.48253,2.490428280211661,563919.02788024,0.9869326906770857,0.912454695771302,-0.013153437743313599
5731179,LLY.US,1982-03-29,2.49661,2.51097,2.48253,2.5163392531605626,771440.43872869,1.010404223705129,0.9228051680474385,0.010350472276136521
5731180,LLY.US,1982-03-30,2.5183,2.53246,2.49661,2.5131408138533193,1366941.2256484,0.9987289316004485,0.9215332911552766,-0.0012718768921618807
5731181,LLY.US,1982-03-31,2.5183,2.5395,2.49661,2.502972109311859,857159.18355357,0.9959537863993108,0.9174788694837827,-0.004054421671494038
5731182,LLY.US,1982-04-01,2.49661,2.5183,2.46846,2.5267749908799595,1188740.3982257,1.0095098469054236,0.9269437824471076,0.00946491296332505
5731183,LLY.US,1982-04-02,2.52503,2.5395,2.51097,2.545326699579145,1213558.8194921,1.0073420501493584,0.9342590109501716,0.007315228503063968
5731184,LLY.US,1982-04-05,2.5395,2.5607,2.5183,2.560900537602347,1195510.8021724,1.0061186008168526,0.9403589691349477,0.0060999581847759774
5731185,LLY.US,1982-04-06,2.5395,2.5607,2.52503,2.535221352809363,1603790.2860964,0.989972595805292,0.9302809518935646,-0.010078017241383125
5731186,LLY.US,1982-04-07,2.55386,2.57496,2.53246,2.571915735424699,1477472.3350194,1.0144738377872504,0.9446510435621223,0.014370091668557766
5731187,LLY.US,1982-04-08,2.59626,2.63153,2.5607,2.6056701090551946,1709805.1009604,1.0131242144389,0.9576898816854428,0.013038838123320387
5731188,LLY.US,1982-04-12,2.61726,2.63875,2.59626,2.617833111035617,1209046.5627988,1.0046678978809152,0.9623469187161564,0.004657037030713661
5731189,LLY.US,1982-04-13,2.61062,2.63875,2.57496,2.6468906034143247,3433151.0098144,1.0110998261333826,0.9733855938734731,0.01103867515731664
5731190,LLY.US,1982-04-14,2.63875,2.65965,2.61726,2.6400163173020927,2030112.7400731,0.9974028824223545,0.970785097935371,-0.0026004959381021172
5731191,LLY.US,1982-04-15,2.70958,2.75922,2.65965,2.7662929654325112,7035467.2296774,1.0478317680473521,1.0175081442760623,0.04672304634069119
5731192,LLY.US,1982-04-16,2.73832,2.75922,2.70958,2.745531542338781,5465515.8404205,0.9924948574308058,1.0099746964119283,-0.00753344786413383
5731193,LLY.US,1982-04-19,2.73832,2.75218,2.71682,2.7384746430919966,3735401.5465267,0.997429678319859,1.0074010657837609,-0.0025736306281674633
5731194,LLY.US,1982-04-20,2.73058,2.75218,2.70265,2.7233584970042153,1791008.5607319,0.9944800854278812,1.0018658601871406,-0.0055352055966201305
5731195,LLY.US,1982-04-21,2.70958,2.71682,2.70265,2.7163898030069173,1615064.8711092,0.9974411396791999,0.99930372038759,-0.002562139799550742
5731196,LLY.US,1982-04-22,2.73832,2.75922,2.70958,2.76445825288943,3715107.4953943,1.0176957113553082,1.0168446855385571,0.01754096515096736
5731197,LLY.US,1982-04-23,2.80904,2.83006,2.77348,2.8347035667051923,3178251.9131398,1.025410155404713,1.0419373697039769,0.025092684165419637
5731198,LLY.US,1982-04-26,2.83006,2.85838,2.80191,2.860012821223859,3877513.4054837,1.0089283602052554,1.0508261077671182,0.008888738063141015
5731199,LLY.US,1982-04-27,2.82321,2.85145,2.78764,2.7961886786346875,4579032.0356276,0.9776839662691234,1.0282573037237823,-0.02256880404333566
5731200,LLY.US,1982-04-28,2.80191,2.80904,2.78091,2.7869565058573027,2086504.8447518,0.9966983012098123,1.024950142298847,-0.003307161424935437
5731201,LLY.US,1982-04-29,2.73832,2.75922,2.71682,2.743185882526503,2977496.8684245,0.9842944720382942,1.0091199758010794,-0.01583016649776763
5731202,LLY.US,1982-04-30,2.75218,2.77348,2.73058,2.7587449400901445,2573733.6790073,1.0056718932766275,1.0147758444557793,0.005655868654700152
5731203,LLY.US,1982-05-03,2.75922,2.77348,2.73832,2.7676670052330787,2526360.0309948,1.0032341029477856,1.018004728940963,0.0032288844851835544
5731204,LLY.US,1982-05-04,2.77348,2.78091,2.75922,2.7650898507209978,2174474.6706563,0.9990688350487222,1.017073130186286,-0.0009315987546769281
5731205,LLY.US,1982-05-05,2.76634,2.78091,2.75922,2.775650212493583,945132.03781829,1.0038191749066785,1.020885030560406,0.0038119003741198688
5731206,LLY.US,1982-05-06,2.78091,2.79468,2.77348,2.77896866021334,1603790.2860964,1.0011955568842286,1.022079873335618,0.0011948427752121495
5731207,LLY.US,1982-05-07,2.78091,2.80191,2.75922,2.7619739363602864,4466248.8357236,0.993884521226753,1.0159456184329043,-0.006134254902713588
5731208,LLY.US,1982-05-10,2.64579,2.66729,2.61726,2.61997986625471,9304684.1490919,0.9485896415471989,0.9631666331078717,-0.05277898532503271
5731209,LLY.US,1982-05-11,2.61726,2.63875,2.58892,2.644221807119037,5664010.7189756,1.0092527202886414,0.9723768092117452,0.009210176103873629
5731210,LLY.US,1982-05-12,2.58892,2.63153,2.54633,2.5774940208866868,7450510.0513743,0.974764678949134,0.9468176171727032,-0.02555919203904201
5731211,LLY.US,1982-05-13,2.57496,2.60349,2.54633,2.5739027466937454,3891051.1850169,0.9986066799131872,0.9454233255128786,-0.001394291659824628
5731212,LLY.US,1982-05-14,2.5819,2.60349,2.55386,2.5866398260664734,3164718.17142,1.004948547255365,0.9503596689524879,0.004936343439609313
5731213,LLY.US,1982-05-17,2.57496,2.58892,2.56763,2.591717435835297,1382736.1429817,1.0019630138365823,0.9523207585951436,0.001961089642655657
5731214,LLY.US,1982-05-18,2.5819,2.58892,2.56763,2.583018079954869,1053407.0188426,0.9966434011053277,0.9489585136845873,-0.003362244910556322
5731215,LLY.US,1982-05-19,2.57496,2.58892,2.56763,2.5754562715264173,1723341.8710403,0.9970724910959261,0.9460267112446981,-0.0029318024398893015
